Date,Country,Total
2016-08-14T00:00:00Z,Belgium,6540
2016-08-14T00:00:00Z,France,35514
2016-08-14T00:00:00Z,Ireland,5907
2016-08-14T00:00:00Z,Luxembourg,1210
2016-08-14T00:00:00Z,Netherlands,11344
2016-08-14T00:00:00Z,United Kingdom,43148
2016-08-21T00:00:00Z,Belgium,6789
2016-08-21T00:00:00Z,France,38311
2016-08-21T00:00:00Z,Ireland,5918
2016-08-21T00:00:00Z,Luxembourg,1287
2016-08-21T00:00:00Z,Netherlands,11430
2016-08-21T00:00:00Z,United Kingdom,43300
2016-08-28T00:00:00Z,Belgium,7013
2016-08-28T00:00:00Z,France,40016
2016-08-28T00:00:00Z,Ireland,5891
2016-08-28T00:00:00Z,Luxembourg,1358
2016-08-28T00:00:00Z,Netherlands,11276
2016-08-28T00:00:00Z,United Kingdom,43487
2016-09-04T00:00:00Z,Belgium,6968
2016-09-04T00:00:00Z,France,39685
2016-09-04T00:00:00Z,Ireland,5843
2016-09-04T00:00:00Z,Luxembourg,1353
2016-09-04T00:00:00Z,Netherlands,11272
2016-09-04T00:00:00Z,United Kingdom,43654
2016-09-11T00:00:00Z,Belgium,6904
2016-09-11T00:00:00Z,France,38247
2016-09-11T00:00:00Z,Ireland,5710
2016-09-11T00:00:00Z,Luxembourg,1379
2016-09-11T00:00:00Z,Netherlands,11141
2016-09-11T00:00:00Z,United Kingdom,43105
2016-09-18T00:00:00Z,Belgium,6970
2016-09-18T00:00:00Z,France,38778
2016-09-18T00:00:00Z,Ireland,5693
2016-09-18T00:00:00Z,Luxembourg,1397
2016-09-18T00:00:00Z,Netherlands,11061
2016-09-18T00:00:00Z,United Kingdom,43244
2016-09-25T00:00:00Z,Belgium,6901
2016-09-25T00:00:00Z,France,38887
2016-09-25T00:00:00Z,Ireland,5750
2016-09-25T00:00:00Z,Luxembourg,1427
2016-09-25T00:00:00Z,Netherlands,11131
2016-09-25T00:00:00Z,United Kingdom,42942
2016-10-02T00:00:00Z,Belgium,6549
2016-10-02T00:00:00Z,France,37174
2016-10-02T00:00:00Z,Ireland,5576
2016-10-02T00:00:00Z,Luxembourg,1357
2016-10-02T00:00:00Z,Netherlands,10961
2016-10-02T00:00:00Z,United Kingdom,41697
2016-10-09T00:00:00Z,Belgium,6511
2016-10-09T00:00:00Z,France,36214
2016-10-09T00:00:00Z,Ireland,5424
2016-10-09T00:00:00Z,Luxembourg,1424
2016-10-09T00:00:00Z,Netherlands,10930
2016-10-09T00:00:00Z,United Kingdom,41285
2016-10-16T00:00:00Z,Belgium,6505
2016-10-16T00:00:00Z,France,36518
2016-10-16T00:00:00Z,Ireland,5438
2016-10-16T00:00:00Z,Luxembourg,1393
2016-10-16T00:00:00Z,Netherlands,10951
2016-10-16T00:00:00Z,United Kingdom,41253
2016-10-23T00:00:00Z,Belgium,6573
2016-10-23T00:00:00Z,France,35093
2016-10-23T00:00:00Z,Ireland,5460
2016-10-23T00:00:00Z,Luxembourg,1350
2016-10-23T00:00:00Z,Netherlands,10940
2016-10-23T00:00:00Z,United Kingdom,40827
2016-10-30T00:00:00Z,Belgium,6094
2016-10-30T00:00:00Z,France,30692
2016-10-30T00:00:00Z,Ireland,5020
2016-10-30T00:00:00Z,Luxembourg,1237
2016-10-30T00:00:00Z,Netherlands,9591
2016-10-30T00:00:00Z,United Kingdom,37133
2016-11-06T00:00:00Z,Belgium,6047
2016-11-06T00:00:00Z,France,30068
2016-11-06T00:00:00Z,Ireland,4700
2016-11-06T00:00:00Z,Luxembourg,1300
2016-11-06T00:00:00Z,Netherlands,9405
2016-11-06T00:00:00Z,United Kingdom,35395
2016-11-13T00:00:00Z,Belgium,5911
2016-11-13T00:00:00Z,France,31012
2016-11-13T00:00:00Z,Ireland,4615
2016-11-13T00:00:00Z,Luxembourg,1257
2016-11-13T00:00:00Z,Netherlands,9550
2016-11-13T00:00:00Z,United Kingdom,35492
2016-11-20T00:00:00Z,Belgium,5777
2016-11-20T00:00:00Z,France,30217
2016-11-20T00:00:00Z,Ireland,4493
2016-11-20T00:00:00Z,Luxembourg,1260
2016-11-20T00:00:00Z,Netherlands,9303
2016-11-20T00:00:00Z,United Kingdom,34699
2016-11-27T00:00:00Z,Belgium,5927
